"","hour.1","hour.2","hour.3","hour.4","hour.5","hour.6","hour.7","hour.8","hour.9","hour.10","hour.11","hour.12","hour.13","hour.14","hour.15","hour.16","hour.17","hour.18","hour.19","hour.20","hour.21","hour.22","hour.23","hour.24","total"
"2023-03-30",1,0,0,0,1,1,2,8,5,3,3,1,2,4,6,0,2,7,2,0,1,0,0,0,49
"2023-03-31",0,3,0,1,0,1,2,5,2,1,1,1,3,11,4,8,6,7,9,5,1,4,1,0,76
"2023-04-01",1,0,0,2,2,8,2,7,11,10,8,9,6,9,8,12,6,10,2,0,0,1,0,0,114
"2023-04-02",2,0,0,1,2,1,4,3,6,13,13,4,3,13,5,6,4,6,5,3,1,0,1,0,96
"2023-04-03",0,0,0,0,1,2,1,4,5,6,10,4,4,7,5,7,8,3,4,2,1,2,0,0,76
"2023-04-04",0,0,0,1,0,1,1,2,3,4,2,1,2,6,3,7,6,3,5,3,0,2,4,0,56
"2023-04-05",0,0,0,0,2,0,1,1,0,2,2,3,4,5,3,8,4,4,0,4,1,0,0,0,44
"2023-04-06",1,0,1,1,0,1,4,5,1,3,1,2,2,1,2,0,4,5,1,0,0,1,0,0,36
"2023-04-07",0,0,1,0,1,1,5,7,4,5,1,3,0,4,1,3,5,8,6,0,1,1,0,0,57
"2023-04-08",0,1,0,0,1,1,1,2,3,2,4,2,1,0,4,0,1,3,1,0,0,1,1,0,29
"2023-04-09",0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,7,6,6,0,3,5,1,0,0,33
"2023-04-10",0,0,0,1,1,0,6,7,4,3,4,2,2,0,3,1,4,4,2,0,0,0,2,0,46
"2023-04-11",0,0,0,0,0,0,7,4,5,4,1,2,2,4,6,0,0,0,1,1,1,0,0,0,38
"2023-04-12",0,0,0,0,0,0,2,2,2,1,0,2,2,0,2,2,5,4,3,2,2,1,0,0,32
"2023-04-13",0,0,1,2,0,0,3,5,6,2,1,0,1,1,1,3,2,6,2,3,0,0,0,0,39
"2023-04-14",0,0,0,0,1,0,0,3,2,7,2,1,1,4,5,8,5,10,9,3,1,0,0,0,62
"2023-04-15",0,0,0,0,0,3,0,4,1,7,5,2,2,2,5,2,4,1,2,0,0,0,0,0,40
"2023-04-16",1,0,0,0,0,0,0,3,0,0,3,1,0,4,8,5,7,2,4,3,1,0,0,0,42
"2023-04-17",1,0,0,0,0,1,9,7,5,3,4,1,1,2,5,2,7,3,2,1,4,0,0,0,58
"2023-04-18",0,0,0,0,0,0,5,5,4,5,3,4,0,1,3,3,5,5,1,0,1,1,0,0,46
"2023-04-19",0,0,1,0,0,0,7,7,5,0,2,1,1,3,6,5,10,16,3,2,0,1,0,0,70
"2023-04-20",1,1,8,3,3,4,8,5,11,7,6,1,3,2,3,4,5,2,4,1,2,1,1,0,86
"2023-04-21",0,0,0,1,0,1,4,4,2,1,0,0,2,4,7,3,8,7,6,4,3,0,0,0,57
"2023-04-22",0,0,0,0,0,0,2,1,3,9,5,3,3,2,2,3,0,2,1,0,0,0,0,0,36
"2023-04-23",1,0,0,0,0,1,0,1,0,1,4,2,2,2,6,6,3,4,3,2,1,0,1,0,40
"2023-04-24",0,0,0,0,0,0,5,9,4,6,3,1,3,2,2,1,1,5,1,0,0,1,0,0,44
"2023-04-25",0,2,0,0,0,0,7,3,0,6,1,4,2,0,3,1,5,4,5,3,2,1,0,0,49
"2023-04-26",0,0,1,0,0,0,4,7,7,4,7,2,2,3,1,2,4,2,2,2,0,0,0,0,50
"2023-04-27",0,3,0,0,0,1,6,5,1,3,2,1,1,2,6,2,4,6,1,0,0,1,1,0,46
"2023-04-28",0,0,0,0,0,0,4,3,1,7,2,1,4,3,8,6,9,8,11,5,3,1,1,0,77
"2023-04-29",0,0,1,0,2,1,2,1,3,7,5,6,3,4,5,3,3,3,0,1,0,1,0,0,51
"2023-04-30",0,0,0,1,0,0,0,0,3,2,1,2,3,4,3,9,9,10,9,2,1,2,0,0,61
"2023-05-01",1,1,0,0,0,0,0,3,0,11,11,0,2,8,8,8,8,4,7,9,0,0,1,0,82
"2023-05-02",0,0,1,0,0,0,20,36,6,1,1,3,7,4,1,3,8,11,9,6,0,1,0,0,118
"2023-05-03",1,1,0,2,3,0,7,22,1,3,4,1,10,6,8,6,19,18,3,3,0,0,3,0,121
"2023-05-04",0,0,0,0,0,1,11,8,12,4,2,3,4,1,0,1,4,10,0,0,0,0,0,0,61
"2023-05-05",4,1,0,0,0,0,7,22,8,13,6,1,8,15,5,12,18,21,8,19,8,1,3,0,180
"2023-05-06",0,0,0,0,1,0,0,9,10,21,17,12,3,13,4,17,11,0,3,6,9,3,6,0,145
"2023-05-07",8,2,6,0,5,5,10,1,3,6,1,1,15,14,7,1,6,10,11,6,16,5,2,0,141
"2023-05-08",7,10,3,1,4,8,13,24,10,31,2,9,1,4,0,7,10,11,7,6,0,1,4,0,173
"2023-05-09",0,5,1,1,0,4,13,14,12,9,0,9,3,4,0,10,4,7,6,1,0,1,1,0,105
"2023-05-10",1,0,0,0,0,3,16,6,14,9,3,3,9,6,5,14,10,11,3,1,0,0,0,0,114
"2023-05-11",0,1,0,0,0,0,5,8,12,8,9,4,4,11,8,12,8,7,7,1,4,3,9,0,121
"2023-05-12",0,0,0,0,3,0,12,12,21,1,7,3,9,5,14,8,15,20,13,8,7,5,1,0,164
"2023-05-13",3,0,0,0,0,0,3,7,7,10,13,7,4,7,6,0,0,8,1,2,3,0,0,0,81
"2023-05-14",0,0,0,0,0,0,0,0,0,3,12,1,6,5,6,12,15,19,6,8,21,12,4,0,130
"2023-05-15",0,0,1,1,0,4,13,16,17,3,0,0,3,9,1,3,7,1,1,1,1,0,1,0,83
"2023-05-16",0,0,1,0,0,0,20,9,3,7,10,3,6,4,4,3,3,6,3,3,3,0,0,0,88
"2023-05-17",4,0,0,0,4,0,15,22,16,17,3,7,10,0,4,0,5,8,0,1,3,3,0,0,122
"2023-05-18",1,0,0,0,6,1,25,20,18,0,9,4,6,4,4,10,7,9,4,4,0,0,0,0,132
"2023-05-19",4,6,6,0,0,3,4,10,4,11,9,12,12,13,17,38,21,23,13,1,1,2,0,0,210
"2023-05-20",0,1,1,1,0,2,8,1,4,16,12,18,4,12,8,2,5,4,2,0,6,0,1,0,108
"2023-05-21",1,0,0,0,1,0,1,3,1,4,3,0,4,6,2,10,11,2,4,4,7,7,0,0,71
"2023-05-22",2,0,0,1,0,2,4,15,13,9,0,0,4,4,0,0,3,0,0,6,1,3,7,0,74
"2023-05-23",6,1,3,2,1,11,5,21,6,1,3,0,4,3,4,13,7,4,0,0,0,1,1,0,97
"2023-05-24",0,0,0,0,0,0,12,4,8,1,12,4,3,6,1,4,9,17,5,1,1,0,0,0,88
"2023-05-25",0,0,4,0,0,0,2,9,7,7,3,3,1,6,4,4,22,14,1,3,0,0,1,0,91
"2023-05-26",0,0,0,0,0,0,17,8,4,0,4,0,9,5,6,13,6,22,13,10,5,2,0,0,124
"2023-05-27",0,0,3,4,0,4,1,4,15,17,31,22,25,6,28,13,16,11,3,1,7,1,0,0,212
"2023-05-28",0,1,0,0,0,0,4,1,5,7,10,3,0,8,16,26,15,15,5,10,10,7,1,0,144
"2023-05-29",4,1,0,0,0,6,20,10,6,3,7,7,3,10,9,11,14,11,8,3,2,4,1,0,140
"2023-05-30",0,0,0,0,0,3,10,14,1,6,1,3,13,0,0,11,11,11,0,5,9,0,0,0,98
"2023-05-31",4,0,1,0,4,6,13,14,4,10,10,18,6,20,14,11,11,6,1,7,6,1,0,0,167
"2023-06-01",1,0,0,0,1,10,19,12,13,9,7,2,2,12,4,9,15,26,6,0,0,5,0,0,153
"2023-06-02",0,0,0,0,0,2,10,11,14,11,1,5,19,14,6,26,16,6,10,17,5,3,0,0,176
"2023-06-03",1,1,3,1,1,0,5,19,24,9,14,28,16,23,5,21,4,13,1,0,0,4,0,0,193
"2023-06-04",0,3,2,1,0,4,1,0,0,2,6,10,6,14,15,21,13,11,4,13,5,3,16,0,150
"2023-06-05",0,0,0,0,4,4,10,17,9,7,1,14,2,0,8,5,12,12,3,3,0,3,7,0,121
"2023-06-06",0,0,0,0,0,3,14,18,14,1,6,6,2,12,2,10,13,9,0,1,0,3,1,0,115
"2023-06-07",0,0,0,0,0,4,11,4,4,17,11,3,3,6,1,9,15,1,6,1,3,2,0,0,101
"2023-06-08",0,0,0,0,0,0,18,8,5,9,8,1,1,3,6,4,10,2,7,1,0,0,1,0,84
"2023-06-09",0,1,0,0,3,1,7,13,10,2,9,11,7,13,17,24,14,13,13,14,3,0,4,0,179
"2023-06-10",0,1,0,3,0,0,6,3,9,28,18,18,9,9,9,16,11,1,6,7,1,1,0,0,156
"2023-06-11",0,3,0,0,0,0,3,0,1,1,4,2,8,19,19,8,8,4,3,1,3,1,0,0,88
"2023-06-12",1,0,1,3,3,5,9,14,20,1,7,9,3,2,7,5,17,13,1,0,1,0,0,0,122
"2023-06-13",2,0,0,0,1,3,9,12,1,5,6,5,4,13,10,9,15,16,11,0,6,0,0,0,128
"2023-06-14",0,0,0,3,1,3,19,9,6,4,7,8,0,3,0,4,3,6,11,2,0,0,0,0,89
"2023-06-15",3,3,4,6,0,0,6,12,15,10,14,3,1,14,2,21,20,23,12,0,0,0,1,0,170
"2023-06-16",0,3,1,2,0,10,13,7,12,10,2,3,6,2,13,32,12,42,32,15,2,5,0,0,224
"2023-06-17",0,0,1,0,1,2,6,6,7,14,18,20,1,0,14,21,10,11,25,0,1,0,0,0,158
"2023-06-18",0,0,0,0,0,0,0,0,5,0,10,0,0,18,32,41,8,0,10,5,1,0,7,0,137
"2023-06-19",0,0,1,0,1,11,13,21,36,11,9,6,4,9,5,3,21,11,5,6,3,0,0,0,176
"2023-06-20",1,0,0,1,0,6,6,22,20,13,11,5,10,14,4,18,14,16,2,0,1,1,0,0,165
"2023-06-21",0,0,0,1,0,0,27,25,10,20,11,19,22,31,30,36,37,31,34,36,21,5,10,0,406
"2023-06-22",6,5,0,5,10,21,23,17,20,32,16,5,14,9,14,11,2,1,0,0,7,0,1,0,219
"2023-06-23",0,0,0,0,0,5,16,8,19,31,28,27,6,9,15,4,6,17,7,15,7,2,1,0,223
"2023-06-24",0,0,1,2,0,0,0,0,2,15,10,5,2,8,22,11,15,3,14,3,8,8,6,0,135
"2023-06-25",0,0,0,5,1,1,0,1,1,1,13,4,5,7,15,24,10,2,0,0,3,0,0,0,93
"2023-06-26",1,7,0,0,0,1,29,16,22,7,17,2,5,9,7,9,13,11,12,1,1,5,0,0,175
"2023-06-27",0,0,2,0,5,0,37,10,27,5,16,5,6,13,6,13,17,5,5,0,1,0,0,0,173
"2023-06-28",0,0,0,1,0,2,9,12,5,4,3,5,0,5,12,8,21,14,6,6,1,5,0,0,119
"2023-06-29",0,0,1,0,0,0,19,13,10,7,11,7,5,4,9,17,16,8,5,0,0,5,0,0,137
"2023-06-30",0,6,0,0,0,0,17,22,22,3,11,8,2,34,16,18,19,26,25,37,7,1,0,0,274
"2023-07-01",1,1,1,0,0,0,1,7,3,7,12,24,5,5,9,2,10,5,9,0,0,1,1,0,104
"2023-07-02",0,0,0,0,2,3,1,0,2,1,3,5,4,12,13,26,4,8,2,2,2,0,0,0,90
"2023-07-03",0,0,0,0,1,0,10,17,5,4,4,2,2,6,8,2,4,2,6,0,0,2,4,0,79
"2023-07-04",0,0,0,0,1,0,4,10,9,3,2,3,13,0,0,10,4,5,0,0,1,3,1,0,69
"2023-07-05",0,1,0,0,0,0,6,8,2,4,2,8,2,10,8,10,4,9,4,0,3,3,0,0,84
"2023-07-06",0,0,2,0,0,1,5,3,6,7,3,5,3,5,5,10,13,12,4,3,2,2,0,0,91
"2023-07-07",0,0,0,0,0,0,11,10,1,14,4,9,8,7,10,14,25,14,9,3,9,3,2,0,153
"2023-07-08",3,0,0,2,0,0,9,10,16,12,11,16,1,7,12,6,13,2,2,1,0,2,2,0,127
"2023-07-09",0,1,0,0,0,0,0,1,0,2,4,2,4,8,12,14,10,5,2,2,16,0,0,0,83
"2023-07-10",0,2,0,0,0,0,11,8,9,3,3,2,4,13,6,4,8,6,2,7,0,0,2,0,90
"2023-07-11",0,0,2,0,0,1,4,10,13,15,3,2,4,7,3,7,4,5,3,1,5,0,2,0,91
"2023-07-12",0,0,0,3,0,3,9,8,8,8,4,7,5,6,4,6,14,6,2,2,1,0,3,0,99
"2023-07-13",1,2,2,0,0,1,6,10,1,7,2,4,1,5,4,6,7,10,5,2,0,0,1,0,77
"2023-07-14",0,0,0,0,0,0,4,13,8,7,7,6,5,10,7,14,23,18,13,9,1,3,2,0,150
"2023-07-15",0,0,0,2,0,0,2,6,5,15,8,10,7,15,3,18,4,10,2,5,1,0,2,0,115
"2023-07-16",0,2,0,0,0,0,2,2,0,6,7,4,7,5,15,9,12,8,1,2,6,3,2,0,93
"2023-07-17",0,0,0,0,1,2,6,10,7,2,3,6,6,7,10,7,9,11,7,2,4,3,0,0,103
"2023-07-18",0,1,0,0,0,2,8,9,6,5,2,2,5,4,6,10,8,18,10,0,2,0,2,0,100
"2023-07-19",0,2,0,0,1,2,7,1,1,6,1,1,6,5,5,3,13,15,8,7,4,0,0,0,88
"2023-07-20",4,0,1,0,0,0,9,4,8,5,3,1,6,3,8,6,13,7,9,3,1,0,2,0,93
"2023-07-21",0,0,0,0,2,3,2,3,1,1,4,4,3,0,6,10,4,12,10,11,3,3,1,0,83
"2023-07-22",4,3,3,0,0,5,5,4,10,14,11,15,5,3,8,15,6,1,0,5,4,0,0,0,121
"2023-07-23",0,0,0,1,0,0,2,4,4,2,0,7,1,10,14,15,9,8,9,2,9,0,0,0,97
"2023-07-24",0,0,0,2,0,0,8,12,10,2,1,8,0,3,3,2,7,13,8,0,1,2,2,0,84
"2023-07-25",0,0,2,0,0,0,1,13,6,0,1,5,1,3,2,17,13,10,2,3,0,1,0,0,80
"2023-07-26",0,0,0,0,0,0,4,9,3,5,5,2,0,5,2,2,3,6,5,0,0,0,0,0,51
"2023-07-27",1,1,2,0,0,0,0,2,4,3,5,2,1,0,2,2,2,5,0,1,0,1,0,0,34
"2023-07-28",2,0,0,1,2,0,3,4,13,2,1,3,3,4,6,5,15,15,3,5,1,0,1,0,89
"2023-07-29",0,0,0,0,1,2,0,3,8,10,6,7,7,8,8,9,8,12,6,1,0,4,0,0,100
"2023-07-30",0,0,0,0,3,0,0,0,0,3,9,3,3,5,11,11,7,7,11,7,1,3,5,0,89
"2023-07-31",0,1,0,2,0,0,7,13,1,7,3,5,1,5,4,2,8,10,2,3,2,1,2,0,79
"2023-08-01",0,0,2,3,0,0,7,12,10,2,3,5,4,5,3,11,5,12,4,10,9,2,0,0,109
"2023-08-02",8,4,0,0,0,3,13,14,10,9,10,0,2,3,2,0,4,5,3,0,0,0,0,0,90
"2023-08-03",0,2,4,2,0,0,7,6,2,2,3,1,2,4,4,1,5,0,4,4,0,0,0,0,53
"2023-08-04",0,0,0,0,0,0,1,2,4,4,4,4,6,2,5,6,6,7,8,7,2,1,0,0,69
"2023-08-05",0,2,2,0,0,3,2,4,5,13,11,4,4,6,13,6,3,1,2,0,4,0,1,0,86
"2023-08-06",0,0,0,0,0,2,0,4,1,2,3,1,2,9,11,9,13,6,8,2,9,4,3,0,89
"2023-08-07",0,2,0,0,2,0,13,17,6,13,2,1,0,4,9,19,8,2,11,0,2,0,0,0,111
"2023-08-08",0,2,0,0,0,0,8,4,10,4,4,4,4,0,12,13,4,13,5,0,0,0,0,0,87
"2023-08-09",3,0,1,2,0,0,8,5,8,6,7,5,3,5,1,11,15,6,8,4,5,6,0,0,109
"2023-08-10",2,1,0,2,0,1,9,9,10,4,3,11,6,4,9,3,10,16,4,18,2,2,1,0,127
"2023-08-11",0,0,1,0,3,1,5,5,10,4,6,2,6,2,12,12,2,13,15,14,2,1,2,0,118
"2023-08-12",0,0,0,0,0,0,6,1,5,8,11,7,4,5,3,7,6,5,2,2,0,0,1,0,73
"2023-08-13",0,0,0,0,0,0,0,0,2,11,9,3,4,5,5,6,10,1,2,7,3,2,0,0,70
"2023-08-14",0,1,0,0,2,0,11,10,17,4,12,3,9,7,4,6,12,10,0,0,0,0,4,0,112
"2023-08-15",0,0,0,0,0,3,17,3,11,6,6,3,8,7,5,13,14,5,2,0,2,0,2,0,107
"2023-08-16",0,0,0,4,0,1,5,8,3,16,16,4,7,6,11,1,2,10,0,0,0,4,2,0,100
"2023-08-17",0,0,2,0,0,2,9,5,0,2,3,6,8,4,0,11,8,4,4,0,0,2,3,0,73
"2023-08-18",2,6,2,1,2,2,1,10,2,0,4,2,0,6,2,4,6,16,10,4,0,0,0,0,82
"2023-08-19",0,3,0,0,0,2,3,8,3,8,7,7,5,8,2,6,10,7,6,3,0,1,0,0,89
"2023-08-20",0,0,0,1,0,0,0,0,0,0,1,2,6,6,3,9,7,7,4,4,0,2,0,0,52
